111	6
117	6
72	3
89	2
33	6
126	3
77	2
106	1
4	1
11	2
5	2
39	6
60	3
87	6
48	3
44	5
70	1
13	4
112	1
119	2
3	6
38	5
113	2
2	5
85	4
28	1
128	5
67	4
66	3
130	1
40	1
20	5
26	5
32	5
101	2
19	4
34	1
96	3
104	5
134	5
12	3
46	1
69	6
10	1
61	4
29	2
68	5
94	1
6	3
114	3
37	4
16	1
98	5
108	3
71	2
95	2
76	1
129	6
55	4
9	6
64	1
132	3
58	1
115	4
137	2
52	1
79	4
57	6
75	6
74	5
110	5
56	5
133	4
84	3
27	6
123	6
97	4
102	3
88	1
81	6
118	1
125	2
92	5
103	4
138	3
31	4
21	6
24	3
82	1
25	4
51	6
8	5
90	3
63	6
47	2
135	6
86	5
36	3
122	5
136	1
43	4
35	2
80	5
59	2
49	4
50	5
124	1
1	4
45	6
107	2
109	4
116	5
105	6
93	6
42	3
54	3
78	3
100	1
120	3
7	4
83	2
73	4
99	6
131	2
18	3
127	4
30	3
14	5
62	5
41	2
23	2
17	2
91	4
121	4
53	2
65	2
22	1
15	6
