47	4
90	5
100	3
53	4
97	6
55	6
44	1
73	6
68	1
37	6
105	2
78	5
31	6
11	4
61	6
93	2
2	1
122	1
131	4
113	4
8	1
75	2
7	6
106	3
89	4
92	1
45	2
94	3
124	3
104	1
91	6
96	5
98	1
134	1
115	6
112	3
95	4
17	4
16	3
58	3
15	2
128	1
83	4
88	3
51	2
99	2
103	6
30	5
108	5
54	5
85	6
36	5
56	1
136	3
80	1
135	2
13	6
138	5
40	3
72	5
137	4
102	5
123	2
129	2
21	2
3	2
28	3
114	5
125	4
130	3
84	5
39	2
6	5
59	4
110	1
12	5
132	5
14	1
111	2
10	3
63	2
29	4
116	1
35	4
1	6
41	4
77	4
107	4
42	5
23	4
101	4
33	2
74	1
117	2
19	6
18	5
109	6
24	5
120	5
57	2
64	3
43	6
62	1
52	3
65	4
126	5
20	1
5	4
60	5
34	3
49	6
67	6
50	1
71	4
4	3
133	6
82	3
79	6
25	6
26	1
87	2
81	2
119	4
46	3
32	1
118	3
9	2
22	3
38	1
121	6
76	3
48	5
70	3
27	2
86	1
127	6
66	5
69	2
