123	3
137	5
48	6
125	5
115	1
86	2
59	5
126	6
55	1
114	6
88	4
45	3
66	6
113	5
103	1
27	3
99	3
68	2
13	1
87	3
112	4
61	1
80	2
56	2
106	4
34	4
135	3
58	4
25	1
50	2
138	6
79	1
30	6
119	5
65	5
77	5
76	4
78	6
63	3
47	5
98	2
52	4
22	4
21	3
43	1
72	6
89	5
91	1
62	2
109	1
40	4
93	3
107	5
110	2
31	1
9	3
42	6
67	1
5	5
117	3
35	5
70	4
134	2
28	4
131	5
46	4
60	6
85	1
14	2
92	2
133	1
57	3
104	2
84	6
127	1
64	4
73	1
122	2
69	3
90	6
38	2
136	4
39	3
129	3
37	1
116	2
118	4
2	2
20	2
6	6
100	4
130	4
29	5
36	6
15	3
124	4
16	4
121	1
94	4
33	3
32	2
128	2
54	6
1	1
97	1
4	4
53	5
102	6
82	4
49	1
3	3
19	1
7	1
74	2
23	5
44	2
75	3
111	3
11	5
12	6
120	6
17	5
83	5
51	3
101	5
24	6
108	6
105	3
18	6
26	2
8	2
41	5
132	6
95	5
71	5
96	6
10	4
81	3
