3	3
60	6
137	5
44	2
79	1
135	3
19	1
61	1
45	3
128	2
10	4
39	3
40	4
53	5
34	4
83	5
86	2
59	5
50	2
105	3
90	6
5	5
20	2
17	5
119	5
64	4
111	3
23	5
38	2
126	6
132	6
62	2
130	4
24	6
106	4
89	5
82	4
71	5
75	3
36	6
116	2
102	6
68	2
15	3
6	6
18	6
138	6
28	4
127	1
103	1
88	4
63	3
129	3
114	6
81	3
47	5
56	2
37	1
124	4
94	4
46	4
22	4
57	3
72	6
95	5
131	5
96	6
112	4
133	1
92	2
113	5
115	1
100	4
70	4
4	4
109	1
12	6
118	4
98	2
31	1
52	4
42	6
41	5
26	2
121	1
69	3
87	3
33	3
78	6
123	3
110	2
55	1
13	1
9	3
76	4
117	3
43	1
54	6
74	2
85	1
101	5
134	2
2	2
30	6
108	6
21	3
27	3
107	5
48	6
16	4
97	1
77	5
25	1
65	5
136	4
99	3
122	2
8	2
58	4
104	2
66	6
93	3
80	2
84	6
49	1
91	1
35	5
29	5
120	6
67	1
125	5
32	2
73	1
11	5
1	1
51	3
14	2
7	1
